,一共游戏场数,4303
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	力量头带	弱点保险,31,72.09%,3
,,气势头带	力量头带	锐利之爪,17,80.95%,3
,,能量增幅器	气势头带	弱点保险,3,42.86%,3
,,猛攻哑铃	气势头带	锐利之爪,3,60.0%,2
,,救援屏障	气势头带	力量头带,2,100.0%,2
,,亿奥斯饼干	力量头带	锐利之爪,25,75.76%,1
,,力量头带	锐利之爪	弱点保险,3,75.0%,1
,,能量增幅器	气势头带	力量头带,2,100.0%,1
,,气势头带	锐利之爪	弱点保险,1,100.0%,1
,,力量头带	锐利之爪	焦点镜,1,100.0%,1
,,猛攻哑铃	力量头带	弱点保险,1,100.0%,1
,,救援屏障	猛攻哑铃	力量头带,0,0.0%,1
,,气势头带	锐利之爪	焦点镜,0,0.0%,1
17,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,3.04%,85,64.89%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BoraReach,37,64.91%
,,SirWaddleChu,26,70.27%
,,realin,12,70.59%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,污泥炸弹	祸不单行	速度强化,37,64.91%,1
,,污泥炸弹	祸不单行	逃脱按键,26,68.42%,2
,,暗影球	食梦		逃脱按键,18,62.07%,7
,,暗影球	食梦		万灵药,2,40.0%,3
,,污泥炸弹	祸不单行	攻击强化,1,100.0%,1
,,污泥炸弹	祸不单行	万灵药,1,100.0%,1
