,一共游戏场数,11348
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
9,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,62,3.92%,317,71.24%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SkinnyBrøwn,42,67.74%
,,Exit(),27,65.85%
,,ҡȏяıṅѧ,24,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,127,75.6%,39
,,出奇一击	暗影爪	万灵药,99,69.23%,24
,,暗袭要害	暗影爪	万灵药,76,69.09%,19
,,暗袭要害	居合劈	脱壳忍者玩偶,7,77.78%,4
,,出奇一击	居合劈	逃脱按键,3,100.0%,1
,,出奇一击	暗影爪	逃脱按键,2,66.67%,1
,,暗袭要害	居合劈	伤药	,2,40.0%,1
,,出奇一击	居合劈	万灵药,1,50.0%,2
,,出奇一击	居合劈	脱壳忍者玩偶,0,0.0%,1
,,暗袭要害	居合劈	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	连打围巾	锐利之爪,150,71.09%,16
,,弱点保险	猛攻哑铃	轻石,27,67.5%,8
,,弱点保险	猛攻哑铃	锐利之爪,21,87.5%,5
,,亿奥斯饼干	弱点保险	猛攻哑铃,18,72.0%,4
,,亿奥斯饼干	猛攻哑铃	锐利之爪,13,68.42%,4
,,气势头带	猛攻哑铃	锐利之爪,10,66.67%,4
,,力量头带	猛攻哑铃	锐利之爪,9,52.94%,4
,,弱点保险	气势头带	猛攻哑铃,14,87.5%,2
,,猛攻哑铃	轻石	锐利之爪,0,0.0%,2
,,力量头带	气势头带	连打围巾,24,75.0%,1
,,气势头带	猛攻哑铃	轻石,8,66.67%,1
,,猛攻哑铃	能量增幅器	锐利之爪,6,75.0%,1
,,气势头带	猛攻哑铃	连打围巾,4,100.0%,1
,,力量头带	弱点保险	锐利之爪,3,100.0%,1
,,弱点保险	连打围巾	锐利之爪,2,100.0%,1
,,弱点保险	气势头带	锐利之爪,2,66.67%,1
,,力量头带	弱点保险	焦点镜,2,66.67%,1
,,气势头带	猛攻哑铃	能量增幅器,2,50.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,1,100.0%,1
,,力量头带	轻石	锐利之爪,1,50.0%,1
,,力量头带	焦点镜	猛攻哑铃,0,0.0%,1
,,力量头带	弱点保险	气势头带,0,0.0%,1
11,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,3.59%,299,73.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LDG・Gekoann,34,85.0%
,,vichoex,34,70.83%
,,LDG・Aeryö,24,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水流连打	水流裂破	万灵药,229,74.11%,45
,,暗冥强击	深渊突刺	逃脱按键,45,69.23%,16
,,水流连打	水流裂破	速度强化,15,65.22%,2
,,水流连打	水流裂破	逃脱按键,6,100.0%,3
,,暗冥强击	深渊突刺	万灵药,2,100.0%,2
,,水流连打	水流裂破	脱壳忍者玩偶,2,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	锐利之爪,99,73.88%,17
,,力量头带	猛攻哑铃	锐利之爪,44,75.86%,8
,,力量头带	气势头带	锐利之爪,42,89.36%,7
,,力量头带	焦点镜	猛攻哑铃,25,89.29%,4
,,焦点镜	猛攻哑铃	锐利之爪,18,66.67%,4
,,气势头带	猛攻哑铃	锐利之爪,34,68.0%,3
