,一共游戏场数,4061
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OGmikeyツ,26,81.25%
,,GR・VIXZEN,22,81.48%
,,IㅤAMㅤMAX,17,85.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,78,68.42%,28
,,增强拳	近身战	速度强化,35,71.43%,12
,,增强拳	近身战	逃脱按键,22,64.71%,13
,,神速		骨棒乱打	速度强化,21,91.3%,6
,,增强拳	骨棒乱打	逃脱按键,4,100.0%,1
,,神速		骨棒乱打	逃脱按键,3,75.0%,2
,,增强拳	近身战	攻击强化,2,50.0%,3
,,神速		近身战	万灵药,1,100.0%,1
,,增强拳	近身战	迟缓烟雾,1,100.0%,1
,,神速		骨棒乱打	攻击强化,1,100.0%,1
,,增强拳	近身战	万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	猛攻哑铃,111,74.0%,19
,,弱点保险	猛攻哑铃	锐利之爪,30,71.43%,11
,,力量头带	猛攻哑铃	锐利之爪,9,60.0%,5
,,弱点保险	猛攻哑铃	轻石,12,60.0%,2
,,力量头带	气势头带	猛攻哑铃,6,75.0%,2
,,力量头带	学习装置	猛攻哑铃,1,50.0%,1
13,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,5.64%,145,63.32%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,VanQuisher__,20,74.07%
,,OЯG・F4v1an,14,87.5%
,,Yûtao爱,14,63.64%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,84,65.62%,22
,,出奇一击	居合劈	万灵药,24,63.16%,9
,,暗袭要害	暗影爪	万灵药,21,51.22%,12
,,出奇一击	居合劈	逃脱按键,10,71.43%,3
,,出奇一击	暗影爪	万灵药,4,80.0%,3
,,暗袭要害	居合劈	伤药	,1,100.0%,1
,,出奇一击	暗影爪	逃脱按键,1,100.0%,1
,,暗袭要害	居合劈	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	猛攻哑铃	锐利之爪,37,67.27%,9
,,弱点保险	气势头带	猛攻哑铃,40,76.92%,5
,,弱点保险	猛攻哑铃	锐利之爪,25,55.56%,5
,,力量头带	连打围巾	锐利之爪,13,56.52%,3
,,猛攻哑铃	轻石	锐利之爪,8,44.44%,3
,,亿奥斯饼干	猛攻哑铃	锐利之爪,8,44.44%,3
,,猛攻哑铃	能量增幅器	锐利之爪,5,71.43%,2
,,力量头带	猛攻哑铃	连打围巾,4,66.67%,1
,,亿奥斯饼干	猛攻哑铃	轻石,3,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	猛攻哑铃	轻石,1,100.0%,1
14,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,5.49%,149,66.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ansh_Blade,21,70.0%
,,INOJI,17,77.27%
,,MG・RëX,15,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	挡路		速度强化,118,66.29%,26
,,重磅冲撞	挡路		逃脱按键,31,68.89%,14
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,136,66.67%,30
,,学习装置	得分护盾	气势头带,7,77.78%,4
,,力量头带	气势头带	焦点镜,4,80.0%,1
,,救援屏障	气势头带	突击背心,1,100.0%,1
,,力量头带	治愈王冠	连打围巾,1,100.0%,1
,,学习装置	气势头带	轻石,0,0.0%,1
15,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,5.1%,160,77.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,S8ul・Legend,48,81.36%
,,TR・Devesh,14,93.33%
,,Suntahj,13,76.47%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神强念	精神冲击	逃脱按键,90,80.36%,22
,,月亮之力	预知未来	逃脱按键,19,86.36%,7
,,精神强念	精神冲击	速度强化,15,75.0%,4
,,精神强念	预知未来	逃脱按键,14,63.64%,8
,,月亮之力	精神冲击	逃脱按键,14,60.87%,10
,,月亮之力	精神冲击	速度强化,4,100.0%,2
,,精神强念	预知未来	速度强化,2,100.0%,2
,,月亮之力	预知未来	速度强化,1,100.0%,1
,,精神强念	预知未来	万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	能量增幅器	讲究眼镜,38,79.17%,13
,,博识眼镜	讲究眼镜	贝壳之铃,67,83.75%,6
,,能量增幅器	讲究眼镜	贝壳之铃,15,75.0%,5
,,博识眼镜	气势头带	讲究眼镜,6,85.71%,4
,,博识眼镜	救援屏障	讲究眼镜,15,60.0%,3
,,博识眼镜	讲究眼镜	进击眼镜,2,100.0%,2
,,气势头带	讲究眼镜	贝壳之铃,13,76.47%,1
,,力量头带	博识眼镜	气势头带,3,60.0%,1
,,博识眼镜	讲究眼镜	轻石,1,100.0%,1
,,救援屏障	能量增幅器	讲究眼镜,0,0.0%,1
16,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,26,4.01%,121,74.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mari_かげ値,63,80.77%
,,OЯG・Cokie04,9,52.94%
,,Suntahj,8,72.73%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	潮旋		攻击强化,39,78.0%,3
,,水之波动	水流尾	速度强化,34,65.38%,18
,,水之波动	水流尾	攻击强化,25,83.33%,2
,,水之波动	水流尾	万灵药,7,58.33%,4
,,嬉闹		潮旋		攻击强化,6,100.0%,1
,,水之波动	水流尾	逃脱按键,5,62.5%,1
,,水之波动	潮旋		速度强化,4,100.0%,3
,,嬉闹		水流尾	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	焦点镜	猛攻哑铃,7,63.64%,7
,,力量头带	焦点镜	猛攻哑铃,18,62.07%,6
,,弱点保险	焦点镜	猛攻哑铃,14,87.5%,6
,,焦点镜	猛攻哑铃	能量增幅器,78,78.0%,3
,,弱点保险	气势头带	猛攻哑铃,2,100.0%,2
,,气势头带	猛攻哑铃	锐利之爪,2,50.0%,1
,,治愈王冠	焦点镜	猛攻哑铃,0,0.0%,1
17,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,3.99%,104,64.2%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Roastㅤ,44,63.77%
,,CG・Gohan04,7,63.64%
,,INOJI,7,58.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,64,58.18%,15
,,帮助		神秘守护	速度强化,16,72.73%,14
,,帮助		神秘守护	逃脱按键,10,71.43%,4
,,炸蛋		神秘守护	速度强化,6,100.0%,5
,,炸蛋		生蛋		万灵药,3,75.0%,1
,,炸蛋		生蛋		攻击强化,2,100.0%,1
,,帮助		生蛋		速度强化,2,100.0%,2
,,炸蛋		神秘守护	迟缓烟雾,1,100.0%,1
,,炸蛋		生蛋		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,82,61.65%,20
,,学习装置	救援屏障	能量增幅器,4,100.0%,3
,,救援屏障	气势头带	进击眼镜,1,50.0%,2
,,气势头带	讲究眼镜	进击眼镜,5,62.5%,1
,,博识眼镜	学习装置	气势头带,4,66.67%,1
,,学习装置	得分护盾	气势头带,2,100.0%,1
,,救援屏障	气势头带	讲究眼镜,2,100.0%,1
,,学习装置	气势头带	进击眼镜,1,100.0%,1
,,学习装置	气势头带	能量增幅器,1,100.0%,1
,,亿奥斯饼干	救援屏障	气势头带,1,100.0%,1
,,学习装置	气势头带	讲究眼镜,1,100.0%,1
,,学习装置	得分护盾	救援屏障,0,0.0%,1
